proprietor,Address,Column3,city,city 1,city 2,Column 7,,,Address,city,State 1,Latitude,Longitude,Unit Number,Country
and repairing, 632 S. Main st,st,"Los Angeles, Cal.",Los Angeles, Cal.,"., Los Angeles Tel. Black 3301",,,632 S. Main St.,Los Angeles, CA,34.04441,-118.25059,,US
work promptly done, 707 S. Fair Oaks avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave., Pasadena Kenyon Warren Hubert",,,707 S. Fair Oaks Avenue,Pasadena, CA,34.133588,-118.150505,,US
work promptly done, 707 S. Fair Oaks avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave., Pasadena Kenyon Warren Hubert",,,707 S. Fair Oaks Avenue,Pasadena, CA,34.133588,-118.150505,,US
 Gilbert's, 7th and broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,Best store in town for,,,7th and Broadway,Los Angeles, CA,34.017375,-118.490737,,US
week at Gilbert's, 7th and broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,Best store in town for,,,7th and Broadway,Los Angeles, CA,34.017375,-118.490737,,US
and contract work, 880 S. Fair Oaks,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave, Pasadena For home cooked",,,880 S. Fair Oaks Ave,Pasadena, CA,34.132376,-118.1502,,US
and contract work, 880 S. Fair Oaks Ave,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave, Pasadena For home cooked",,,880 S. Fair Oaks Ave,Pasadena, CA,34.132376,-118.1502,,US
Co. undertakers, Broadway and Sixth st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. Main 243 Los Angeles,,, Broadway and Sixth St.,Los Angeles, CA,33.98171,-118.060372,,US
Spring Dept Store, Cor of Fourth and  broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,Department Store Cor. Fourth and,,, Cor of Fourth and  Broadway,Los Angeles, CA,33.99305,-118.471244,,US
Department Store, Cor. Fourth and broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,", Los Angeles, Cal. Boys' School",,, Cor. Fourth and Broadway,Los Angeles, CA,33.99305,-118.471244,,US
Department Store, Cor. Fourth and broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,", Los Angeles, Cal. Boys' School",,, Cor. Fourth and Broadway,Los Angeles, CA,33.99305,-118.471244,,US
California building, cor. of Spring aand Second St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,and Second St. All shines,,, cor. of Spring and Second St..,Los Angeles, CA,34.163236,-117.361679,,US
"McLain & Gleason, prescription druggists", cor. Second and broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,McLain &amp; Gleason dealers in drugs,,, cor. Second and Broadway,Los Angeles, CA,34.013553,-118.495433,,US
prescription druggists, cor. Second and broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,McLain &amp; Gleason dealers in drugs,,, cor. Second and Broadway,Los Angeles, CA,34.013553,-118.495433,,US
cut rates., Cor. Temple and Spring St,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. Tel. Green 933 C.H,,, Cor. Temple and Spring St.,Los Angeles, CA,33.897812,-118.011676,,US
cut rates., Cor. Temple and Spring St,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,St. Tel. Green 933 C.H,,, Cor. Temple and Spring St.,Los Angeles, CA,33.897812,-118.011676,,US
rates., Cor. Temple and Spring st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. Green 933 C.H. Lewis,,, Cor. Temple and Spring St.,Los Angeles, CA,33.897812,-118.011676,,US
druggist, Cor. Third and Main st,st,"Los Angeles, Cal.",Los Angeles, Cal.,". Los Angeles, Cal. W.O.W. No",,, Cor. Third and Main St.,Los Angeles, CA,34.422312,-117.306656,,US
, Cor of Spring and Second st,st,"Los Angeles, Cal.",Los Angeles, Cal.,. All shines 5 cents; all,,, Cor of Spring and Second St.,Los Angeles, CA,34.163236,-117.361679,,US
The Broadway Department Store, Fourth and Broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,Department Store Cor. Fourth and,,, Fourth and Broadway,Los Angeles, CA,33.99305,-118.471244,,US
employment agency, No. 55 N. Fair Oaks Avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Tel. Black 1181 Pasadena, Cal",,,No. 55 N. Fair Oaks Avenue,Pasadena, CA,34.146718,-118.150634,,US
employment agency, No. 55 N. Fair Oaks Avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Tel. Black 1181 Pasadena, Cal",,,No. 55 N. Fair Oaks Avenue,Pasadena, CA,34.146718,-118.150634,,US
California building, northeast corner of Spring and Second St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,and Second St. All shines,,, northeast  corner of Spring and Second St..,Los Angeles, CA,34.46712,-118.19955,,US
St., Pasadena Third door from Fair Oaks,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,Ave. Established 1884. Black 1174,,, Third door from Fair Oaks Avenue,Pasadena, CA,33.786594,-118.298662,,US
Rev. C.H. Anderson of, Pennsylvania avenue,avenue,"Los Angeles, Cal.",Los Angeles, Cal.,recently purchased of Williamson Brothers,,, Pennsylvania Avenue,Los Angeles, CA,34.047596,-118.21763,,US
Rev. C.H. Anderson of, Pennsylvania avenue,avenue,"Los Angeles, Cal.",Los Angeles, Cal.,recently purchased of Williamson Brothers,,, Pennsylvania Avenue,Los Angeles, CA,34.047596,-118.21763,,US
Dean's Drug Store, Second and Spring st,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St. Los Angeles, Cal. Phone",,, Second and Spring St.,Los Angeles, CA,34.051703,-118.245606,,US
Dean's Drug Store, Second and Spring St,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,"St. Los Angeles, Cal. Phone",,, Second and Spring St.,Los Angeles, CA,34.051703,-118.245606,,US
Drug Store, Second and Spring st,st,"Los Angeles, Cal.",Los Angeles, Cal.,". Los Angeles, Cal. Phone Main",,, Second and Spring St.,Los Angeles, CA,34.051703,-118.245606,,US
St., Third door from Fair Oaks Avenue,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,Ave. Established 1884. Black 1174,,, Third door from Fair Oaks Avenue,Pasadena, CA,33.786594,-118.298662,,US
St. John's Episcopal Church,?,st,"Los Angeles, Cal.",Los Angeles, Cal.,. John's Episcopal Church. The place,,,?,Los Angeles, CA,33.973951,-118.248405,,US
,232 W. Second St,,"Los Angeles, Cal.",Los Angeles, Cal.,,,,232 W. Second St.,Los Angeles, CA,34.05206,-118.2465,,US
at Joseph's. 426-428 S.,425-428 S. Spring St.. ,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Northern negro outrages A suburb,,,425-428 S. Spring St.,Los Angeles, CA,34.04807,-118.248758,,US
at Joseph's. 426-428 S.,425-428 S. Spring St.. ,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345 The Fair,,,425-428 S. Spring St.,Los Angeles, CA,34.04807,-118.248758,,US
,425-428 S. Spring St.. ,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Northern negro outrages A suburb,,,425-428 S. Spring St.,Los Angeles, CA,34.04807,-118.248758,,US
on time. 426-428 S.,425-428 S. Spring St.. ,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345 For the,,,425-428 S. Spring St,Los Angeles, CA,34.04807,-118.248758,,US
at Joseph's. 426-428 S.,425-428 S.Spring St,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345 When you,,,425-428 S.Spring St.,Los Angeles, CA,34.04807,-118.248758,,US
at Joseph's. 426-428 S.,"425,428 2. Spring St",Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345 The Fair,,,"425,428 2. Spring St.",Los Angeles, CA,34.0398,-118.21254,2,US
on time. 426-428 S.,426-428 S. Spring St.,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345 For the,,,426-428 S. Spring St.,Los Angeles, CA,34.04807,-118.248758,,US
Under City Hall,43 and 45 N.Fair Oaks,Fair Oaks,"Pasadena, Cal.",Pasadena, Cal.,"Ave. under City Hall, Pasadena",,,43 and 45 N.Fair Oaks,Pasadena, CA,33.786594,-118.298662,,US
boy up for school. The,broadway,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,has always been headquarters for,,,Broadway,Los Angeles, CA,33.98171,-118.060372,,US
private ambulance BreseeBros. Co. undertakers,Broadway and Sixth St. ,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,and Sixth St. Tel. Main,,,Broadway and Sixth St.,Los Angeles, CA,33.98171,-118.060372,,US
private ambulance BreseeBros. Co. undertakers,Broadway and Sixth St. ,broadway,"Los Angeles, Cal.",Los Angeles, Cal.,and Sixth St. Tel. Main,,,Broadway and Sixth St.,Los Angeles, CA,33.98171,-118.060372,,US
at Joseph's. 426-428 S.,s425-428 S. Spring St..,Spring,"Los Angeles, Cal.",Los Angeles, Cal.,. Tel. M. 1345 When you,,,425-428 S. Spring St,Los Angeles, CA,34.04807,-118.248758,,US
